   10
Strategic_Defend(C)                 Pyongyang                       
Strategic_Defend(C)                 Pyongyang                       
Tactical_Destroy(N)                 Pyongyang                       
Strategic_Defend(C)                 Pyongyang                       
Strategic_Defend(C)                 Pyongyang                       
Strategic_Defend(C)                 Pyongyang                       
Strategic_Defend(C)                 Pyongyang                       
Strategic_Defend(C)                 Pyongyang                       
Strategic_Defend(C)                 Pyongyang                       
Strategic_Defend(C)                 Pyongyang                       
