 1  33.0   -117.0  1.00  35  Farm1
 2  38.0   -122.0  0.90  35  Farm2
 3  48.0   -122.0  0.95  35  Farm3
 4  50.0   -112.0  0.80  35  Farm4
 5  52.0   -101.0  0.85  35  Farm5
 6  50.0   -93.0   0.98  35  Farm6
 7  45.0   -68.0   0.90  35  Farm7
 8  40.0   -75.0   1.00  35  Farm8
 9  35.0   -78.0   1.00  35  TelAviv
10  26.0   -81.0   1.00  35  TelAviv
11  39.0   -105.0  1.00  35  AlJawf
12  29.92  39.67   1.00  35  AlJawf
13  32.07  34.8    1.00  35  Hakodate
14  41.75  140.73  1.00  35  Hakodate
