   12
    1 CRC/SIM        38.5  -105.2   85.0    255    0    0   20    6   0.1
    2 CRC/MCE        38.5  -105.2   85.0    255    0    0   20    6   0.1
    3 USMC           38.5  -105.2   85.0    255    0    0   20    6   0.1
    4 THAAD/TMI      38.5  -105.2   85.0    255    0    0   20    6   0.1
    5 AEGIS/1        38.5  -105.2   85.0    255    0    0   20    6   0.1
    6 AEGIS/2        38.5  -105.2   85.0    255    0    0   20    6   0.1
    7 CRC/COOR       38.5  -105.2   85.0    255    0    0   20    6   0.1
   10 JTAGS          38.5  -105.2   85.0    255    0    0   20    6   0.1
   11 PATRIOT/1      38.5  -105.2   85.0    255    0    0   20    6   0.1
   12 PATRIOT/2      38.5  -105.2   85.0    255    0    0   20    6   0.1
   13 FTBLISS        38.5  -105.2   85.0    255    0    0   20    6   0.1
   14 THAAD/BLISS    38.5  -105.2   85.0    255    0    0   20    6   0.1

  stn    name        lat    lon     alt      r    g    b   icon  rv   scale
