  50 
Target-AA        Redland             39.000   125.750      0      1  0.4000      0
Target-AB        Redland             40.100   128.333      0      3  0.7000      0
Target-AC        Redland             39.417   125.917      0      4  0.5000      0
Target-AD        Redland             39.917   125.483      0      4  0.3000      1
Target-AE        Redland             39.800   125.800      0      4  0.1000      0
Target-AF        Redland             39.000   125.750      0      1  0.7000      0
Target-AG        Redland             40.100   128.333      0      3  0.7000      0
Target-AH        Redland             39.417   125.917      0      4  0.6000      0
Target-AI        Redland             39.917   125.483      0      4  0.9000      0
Target-AJ        Redland             39.800   125.800      0      4  0.3000      0
Target-AK        Redland             39.000   125.750      0      1  0.5000      0
Target-AL        Redland             40.100   128.333      0      3  0.4000      0
Target-AM        Redland             39.417   125.917      0      4  0.4000      0
Target-AN        Redland             39.917   125.483      0      4  0.6000      0
Target-AO        Redland             39.800   125.800      0      4  0.2000      1
Target-AP        Redland             39.000   125.750      0      1  0.2000      0
Target-AQ        Redland             40.100   128.333      0      3  0.3000      0
Target-AR        Redland             39.417   125.917      0      4  0.4000      0
Target-AS        Redland             39.917   125.483      0      4  0.5000      0
Target-AT        Redland             39.800   125.800      0      4  0.8000      1
Target-AU        Redland             39.000   125.750      0      1  0.2000      0
Target-AV        Redland             40.100   128.333      0      3  0.1000      0
Target-AW        Redland             39.417   125.917      0      4  0.3000      1
Target-AX        Redland             39.917   125.483      0      4  0.4000      0
Target-AY        Redland             39.800   125.800      0      4  0.2000      0
Target-AZ        Redland             39.000   125.750      0      1  0.6000      0
Target-BA        Redland             39.000   125.750      0      1  0.8000      0
Target-BB        Redland             40.100   128.333      0      3  0.4000      0
Target-BC        Redland             39.417   125.917      0      4  0.3000      0
Target-BD        Redland             39.917   125.483      0      4  0.6000      0
Target-BE        Redland             39.800   125.800      0      4  0.1000      1
Target-BF        Redland             39.000   125.750      0      1  0.3000      0
Target-BG        Redland             40.100   128.333      0      3  0.2000      0
Target-BH        Redland             39.417   125.917      0      4  0.6000      0
Target-BI        Redland             39.917   125.483      0      4  0.7000      0
Target-BJ        Redland             39.800   125.800      0      4  0.3000      0
Target-BK        Redland             39.000   125.750      0      1  0.5000      0
Target-BL        Redland             40.100   128.333      0      3  0.6000      1
Target-BM        Redland             39.417   125.917      0      4  0.2000      0
Target-BN        Redland             39.917   125.483      0      4  0.3000      0
Target-BO        Redland             39.800   125.800      0      4  0.4000      1
Target-BP        Redland             39.000   125.750      0      1  0.5000      1
Target-BQ        Redland             40.100   128.333      0      3  0.6000      0
Target-BR        Redland             39.417   125.917      0      4  0.8000      1
Target-BS        Redland             39.917   125.483      0      4  0.7000      0
Target-BT        Redland             39.800   125.800      0      4  0.3000      0
Target-BU        Redland             39.000   125.750      0      1  0.2000      0
Target-BV        Redland             40.100   128.333      0      3  0.4000      1
Target-BW        Redland             39.417   125.917      0      4  0.6000      0
Target-BX        Redland             39.917   125.483      0      4  0.7000      0
Target-BY        Redland             39.800   125.800      0      4  0.5000      0
Target-BZ        Redland             39.000   125.750      0      1  0.4000      0
